timestamp,sensor_torque,sensor_rpm,act_target_torque,act_target_velocity,load_target_torque,load_target_velocity,act_torque,act_vel,act_pos,load_torque,load_vel,load_pos
23:09:39.501,0.0,0,0,0,0,0,13,0,0,-19,0,0
23:09:39.511,0.0,0,0,0,0,0,13,0,0,-43,0,0
23:09:39.521,0.0,0,0,0,0,0,36,0,0,14,0,0
23:09:39.532,0.0,0,0,0,0,0,-15,0,0,51,0,0
23:09:39.542,0.0,0,0,0,0,0,-5,0,0,-97,0,0
23:09:39.552,0.0,0,0,0,0,0,-20,0,0,1,0,0
23:09:39.562,0.0,0,0,0,0,0,-13,0,0,-63,0,0
23:09:39.572,0.0,0,0,0,0,0,-66,0,0,23,0,0
23:09:39.582,0.0,0,0,0,0,0,-3,0,0,26,0,0
23:09:39.592,0.0,0,0,0,0,0,8,0,0,-56,0,0
23:09:39.602,0.0,0,0,0,0,0,13,0,0,-54,0,0
23:09:39.613,0.0,0,0,0,0,0,-68,0,0,-32,0,0
23:09:39.623,0.0,0,0,0,0,0,-70,0,0,29,0,0
23:09:39.633,0.0,0,0,0,0,0,30,0,0,-14,0,0
23:09:39.643,0.0,0,0,0,0,0,-48,0,0,48,0,0
23:09:39.653,0.0,0,0,0,0,0,-45,0,0,38,0,0
23:09:39.663,0.0,0,0,0,0,0,5,0,0,58,0,0
23:09:39.673,0.0,0,0,0,0,0,-48,0,0,41,0,0
23:09:39.683,0.0,0,0,0,0,0,28,0,0,27,0,0
23:09:39.694,0.0,0,0,0,0,0,67,0,0,75,0,0
23:09:39.704,0.0,0,0,0,0,0,7,0,0,39,0,0
23:09:39.714,0.0,0,0,0,0,0,56,0,0,-16,0,0
23:09:39.724,0.0,0,0,0,0,0,2,0,0,0,0,0
23:09:39.734,0.0,0,0,0,0,0,-45,0,0,7,0,0
23:09:39.744,0.0,0,0,0,0,0,25,0,0,37,0,0
23:09:39.754,0.0,0,0,0,0,0,44,0,0,58,0,0
23:09:39.765,0.0,0,0,0,0,0,44,0,0,13,0,0
